plantName,projectNumber,sampleID,product,milkType,size,container,dateProcessed,dateCode,dateInitial,count_DI_SPC,count_DI_CVTA,count_D7_SPC,count_D7_CVTA,count_D14_SPC,count_D14_CVTA,count_D21_SPC,count_D21_CVTA,censor_DI_SPC,censor_DI_CVTA,censor_D7_SPC,censor_D7_CVTA,censor_D14_SPC,censor_D14_CVTA,censor_D21_SPC,censor_D21_CVTA,dataValue_DI_SPC,dataValue_DI_CVTA,dataValue_D7_SPC,dataValue_D7_CVTA,dataValue_D14_SPC,dataValue_D14_CVTA,dataValue_D21_SPC,dataValue_D21_CVTA,countability_DI_SPC,countability_DI_CVTA,countability_D7_SPC,countability_D7_CVTA,countability_D14_SPC,countability_D14_CVTA,countability_D21_SPC,countability_D21_CVTA,flavorName,fatLevel,creamline,ID
Stoltzfus Family Dairy,502,46-1,Single Serve,Whole Mocha,12 oz,Plastic,2022-07-12,2022-08-23,2022-07-14,< 10 E,< 20 E,1200,3200,250000000,620000000,890000000,2000000000,<,<,,,,,,,10,20,1200,3200,250000000,620000000,890000000,2000000000,E,E,,,,,,,Mocha,Whole,,6564
Valley Farms,502,51,Core,Whole White,½ Gal,Plastic,2022-07-11,2022-07-28,2022-07-15,< 10 E,< 20 E,10 E,< 20 E,> 400000 E,> 400000 E,,,<,<,,<,>,>,,,10,20,10,20,400000,400000,,,E,E,E,E,E,E,,,White,Whole,,6565
Valley Farms,502,52,Core,2% White,Qt,Plastic,2022-07-11,2022-07-28,2022-07-15,< 10 E,< 20 E,380 E,320 E,800000000,1100000000,,,<,<,,,,,,,10,20,380,320,800000000,1100000000,,,E,E,E,E,,,,,White,2%,,6566
Valley Farms,502,52-1,Single Serve,2% White,½ Pt,Paper,2022-07-11,2022-07-28,2022-07-15,< 10 E,< 20 E,130 E,180 E,1300000000,1800000000,,,<,<,,,,,,,10,20,130,180,1300000000,1800000000,,,E,E,E,E,,,,,White,2%,,6570
Valley Farms,502,52-2,Extras,2% White,Gal,Plastic,2022-07-11,2022-07-28,2022-07-15,20 E,< 20 E,230 E,100 E,33000000,37000000,,,,<,,,,,,,20,20,230,100,33000000,37000000,,,E,E,E,E,,,,,White,2%,,6571
Valley Farms,502,53,Core,Skim White,Qt,Plastic,2022-07-11,2022-07-28,2022-07-15,< 10 E,< 20 E,< 10 E,< 20 E,10 E,< 20 E,,,<,<,<,<,,<,,,10,20,10,20,10,20,,,E,E,E,E,E,E,,,White,Skim,,6567
Valley Farms,502,54,Core,1% White,Qt,Plastic,2022-07-11,2022-07-28,2022-07-15,10 E,< 20 E,170 E,260 E,53000000,320000000,,,,<,,,,,,,10,20,170,260,53000000,320000000,,,E,E,E,E,,,,,White,1%,,6568
Valley Farms,502,55,Single Serve,1% Chocolate,½ Pt,Paper,2022-07-11,2022-07-28,2022-07-15,10 E,< 20 E,20 E,< 20 E,22000,1200,,,,<,,<,,,,,10,20,20,20,22000,1200,,,E,E,E,E,,,,,Chocolate,1%,,6569
Black River Valley Natural,503,11,Core,Whole White Creamline,½ Gal,Plastic,2022-08-09,2022-08-27,2022-08-11,< 10 E,< 20 E,7700,10000,22000000,29000000,,,<,<,,,,,,,10,20,7700,10000,22000000,29000000,,,E,E,,,,,,,White,Whole,Creamline,6576
Black River Valley Natural,503,11-1,Core,Whole White Creamline,Gal,Plastic,2022-08-09,2022-08-27,2022-08-11,10 E,< 20 E,29000,44000,34000000,51000000,,,,<,,,,,,,10,20,29000,44000,34000000,51000000,,,E,E,,,,,,,White,Whole,Creamline,6577
Black River Valley Natural,503,11-2,Core,Whole White Creamline,Pt,Plastic,2022-08-09,2022-08-27,2022-08-11,10 E,< 20 E,70000,57000,1300000000,1000000000,,,,<,,,,,,,10,20,70000,57000,1300000000,1000000000,,,E,E,,,,,,,White,Whole,Creamline,6578
Black River Valley Natural,503,15,Flavored,Whole Chocolate Creamline,½ Gal,Plastic,2022-08-09,2022-08-27,2022-08-11,21000,35000,37000000,28000000,2700000000,3000000000,,,,,,,,,,,21000,35000,37000000,28000000,2700000000,3000000000,,,,,,,,,,,Chocolate,Whole,Creamline,6579
Black River Valley Natural,503,15-1,Single Serve,Whole Chocolate Creamline,Pt,Plastic,2022-08-09,2022-08-27,2022-08-11,680,620,16000000,15000000,2100000000,1800000000,,,,,,,,,,,680,620,16000000,15000000,2100000000,1800000000,,,,,,,,,,,Chocolate,Whole,Creamline,6580
Black River Valley Natural,503,16,Single Serve,Whole Vanilla,Pt,Plastic,2022-08-01,2022-08-19,2022-08-11,> 400000 E,> 400000 E,,,25000000,17000000,,,>,>,,,,,,,400000,400000,,,25000000,17000000,,,E,E,,,,,,,Vanilla,Whole,,6582
Black River Valley Natural,503,16-1,Single Serve,Whole Strawberry,Pt,Plastic,2022-08-08,2022-08-26,2022-08-11,10 E,< 20 E,340 E,220 E,49000000,56000000,,,,<,,,,,,,10,20,340,220,49000000,56000000,,,E,E,E,E,,,,,Strawberry,Whole,,6583
Cornell University,503,21,Core,Whole White,½ Gal,Plastic,2022-08-09,2022-09-01,2022-08-11,30 E,< 20 E,< 10 E,< 20 E,30 E,< 20 E,17000,< 20 E,,<,<,<,,<,,<,30,20,10,20,30,20,17000,20,E,E,E,E,E,E,,E,White,Whole,,6593
Cornell University,503,22,Core,2% White,½ Gal,Plastic,2022-08-09,2022-09-01,2022-08-11,30 E,< 20 E,10 E,< 20 E,< 10 E,< 20 E,40 E,< 20 E,,<,,<,<,<,,<,30,20,10,20,10,20,40,20,E,E,E,E,E,E,E,E,White,2%,,6594
Cornell University,503,22-1,Single Serve,2% White,½ Pt,Plastic,2022-08-09,2022-09-01,2022-08-11,< 10 E,< 20 E,10 E,< 20 E,< 10 E,< 20 E,< 10 E,< 20 E,<,<,,<,<,<,<,<,10,20,10,20,10,20,10,20,E,E,E,E,E,E,E,E,White,2%,,6596
Cornell University,503,22-2,Extras,2% White,Bag,Plastic,2022-08-09,2022-09-01,2022-08-11,10 E,< 20 E,< 10 E,< 20 E,10 E,< 20 E,< 10 E,< 20 E,,<,<,<,,<,<,<,10,20,10,20,10,20,10,20,E,E,E,E,E,E,E,E,White,2%,,6633
Cornell University,503,23,Core,Skim White,½ Gal,Plastic,2022-08-09,2022-09-01,2022-08-11,10 E,< 20 E,< 10 E,< 20 E,10000,11000,740000000,660000000,,<,<,<,,,,,10,20,10,20,10000,11000,740000000,660000000,E,E,E,E,,,,,White,Skim,,6595
Cornell University,503,25,Single Serve,1% Chocolate,½ Pt,Plastic,2022-08-09,2022-09-01,2022-08-11,20 E,< 20 E,10 E,< 20 E,8200,< 20 E,180000 E,< 20 E,,<,,<,,<,,<,20,20,10,20,8200,20,180000,20,E,E,E,E,,E,E,E,Chocolate,1%,,6597
Family Farmstead Dairy,503,31,Core,Whole White Creamline,½ Gal,Plastic,2022-08-10,2022-08-31,2022-08-11,190 E,< 20 E,230 E,< 20 E,1800,< 20 E,,,,<,,<,,<,,,190,20,230,20,1800,20,,,E,E,E,E,,E,,,White,Whole,Creamline,6585
Family Farmstead Dairy,503,31-1,Core,Whole White Creamline,Qt,Plastic,2022-08-08,2022-08-29,2022-08-11,130 E,< 20 E,70 E,< 20 E,1900,1800,,,,<,,<,,,,,130,20,70,20,1900,1800,,,E,E,E,E,,,,,White,Whole,Creamline,6586
Family Farmstead Dairy,503,31-2,Core,Whole White Creamline,Qt,Plastic,2022-08-09,2022-08-30,2022-08-11,50 E,< 20 E,220000,320000,1300000000,1100000000,,,,<,,,,,,,50,20,220000,320000,1300000000,1100000000,,,E,E,,,,,,,White,Whole,Creamline,6587
Goodale Farms,503,41,Core,Whole White Creamline,Qt,Glass,2022-08-09,2022-08-23,2022-08-11,1400,< 20 E,12000,< 20 E,3600,60 E,,,,<,,<,,,,,1400,20,12000,20,3600,60,,,,E,,E,,E,,,White,Whole,Creamline,6589
Goodale Farms,503,41-1,Core,Whole White Creamline,Qt,Glass,2022-08-07,2022-08-21,2022-08-11,2500,680,6400000,14000000,2000000000,1700000000,,,,,,,,,,,2500,680,6400000,14000000,2000000000,1700000000,,,,,,,,,,,White,Whole,Creamline,6590
Ithaca Milk,503,51,Core,Whole White Creamline,½ Gal,Plastic,2022-08-08,2022-08-29,2022-08-11,80 E,< 20 E,< 10 E,< 20 E,< 10 E,< 20 E,4700,< 20 E,,<,<,<,<,<,,<,80,20,10,20,10,20,4700,20,E,E,E,E,E,E,,E,White,Whole,Creamline,6599
Ithaca Milk,503,51-1,Core,Whole White Creamline,Qt,Plastic,2022-08-05,2022-08-28,2022-08-11,< 10 E,< 20 E,,,19000,30000,390000000,470000000,<,<,,,,,,,10,20,,,19000,30000,390000000,470000000,E,E,,,,,,,White,Whole,Creamline,6600
Ithaca Milk,503,51-2,Core,Whole White Creamline,½ Gal,Plastic,2022-08-05,2022-08-28,2022-08-11,20 E,< 20 E,,,90 E,140 E,14000000,15000000,,<,,,,,,,20,20,,,90,140,14000000,15000000,E,E,,,E,E,,,White,Whole,Creamline,6601
Ithaca Milk,503,51-3,Core,Whole White Creamline,Qt,Plastic,2022-08-08,2022-08-29,2022-08-11,10 E,< 20 E,30 E,< 20 E,10 E,< 20 E,32000,30000,,<,,<,,<,,,10,20,30,20,10,20,32000,30000,E,E,E,E,E,E,,,White,Whole,Creamline,6634
Mountainside Farms Dairy,503,61,Core,Whole White,½ Gal,Plastic,2022-08-08,2022-08-30,2022-08-11,600,< 20 E,11000,1700,930000000,660000000,,,,<,,,,,,,600,20,11000,1700,930000000,660000000,,,,E,,,,,,,White,Whole,,6603
Mountainside Farms Dairy,503,62,Core,2% White,½ Gal,Plastic,2022-08-08,2022-08-28,2022-08-11,> 400000 E,29000,700000000,24000000,970000000,230000000,,,>,,,,,,,,400000,29000,700000000,24000000,970000000,230000000,,,E,,,,,,,,White,2%,,6604
Mountainside Farms Dairy,503,62-1,Extras,2% White,Gal,Plastic,2022-08-05,2022-08-28,2022-08-11,430,< 20 E,,,5400000,80000 E,,,,<,,,,,,,430,20,,,5400000,80000,,,,E,,,,E,,,White,2%,,6608
Mountainside Farms Dairy,503,62-2,Extras,2% White,½ Gal,Paper,2022-08-08,2022-08-26,2022-08-11,10 E,< 20 E,170 E,< 20 E,44000000,30000,,,,<,,<,,,,,10,20,170,20,44000000,30000,,,E,E,E,E,,,,,White,2%,,6609
Mountainside Farms Dairy,503,63,Core,Skim White,½ Gal,Plastic,2022-08-07,2022-08-28,2022-08-11,30 E,< 20 E,3200000,2500000,1400000000,1100000000,,,,<,,,,,,,30,20,3200000,2500000,1400000000,1100000000,,,E,E,,,,,,,White,Skim,,6605
Mountainside Farms Dairy,503,64,Core,1% White,½ Gal,Plastic,2022-08-08,2022-08-28,2022-08-11,710,760,24000000,29000000,1800000000,1800000000,,,,,,,,,,,710,760,24000000,29000000,1800000000,1800000000,,,,,,,,,,,White,1%,,6606
Mountainside Farms Dairy,503,65,Flavored,1% Chocolate,½ Gal,Plastic,2022-08-04,2022-08-28,2022-08-11,< 10 E,< 20 E,,,130 E,1800000,,,<,<,,,,,,,10,20,,,130,1800000,,,E,E,,,E,,,,Chocolate,1%,,6607
Mountainside Farms Dairy,503,65-1,Single Serve,1% Chocolate,½ Pt,Paper,2022-08-08,2022-09-02,2022-08-11,16000,13000,40000,120000,420000000,380000000,,,,,,,,,,,16000,13000,40000,120000,420000000,380000000,,,,,,,,,,,Chocolate,1%,,6635
Upstate Buffalo,503,71,Core,Whole White,½ Gal,Plastic,2022-08-08,2022-08-25,2022-08-11,10 E,< 20 E,20 E,< 20 E,20 E,< 20 E,,,,<,,<,,<,,,10,20,20,20,20,20,,,E,E,E,E,E,E,,,White,Whole,,6612
Upstate Buffalo,503,72,Core,2% White,½ Gal,Plastic,2022-08-08,2022-08-25,2022-08-11,10 E,< 20 E,< 10 E,< 20 E,70 E,< 20 E,,,,<,<,<,,<,,,10,20,10,20,70,20,,,E,E,E,E,E,E,,,White,2%,,6613
Upstate Buffalo,503,72-1,Extras,2% White,Gal,Plastic,2022-08-08,2022-08-25,2022-08-11,< 10 E,< 20 E,< 10 E,< 20 E,< 10 E,< 20 E,,,<,<,<,<,<,<,,,10,20,10,20,10,20,,,E,E,E,E,E,E,,,White,2%,,6621
Upstate Buffalo,503,72-2,Single Serve,2% White,½ Pt,Paper,2022-08-08,2022-08-25,2022-08-11,< 10 E,< 20 E,< 10 E,< 20 E,< 10 E,< 20 E,,,<,<,<,<,<,<,,,10,20,10,20,10,20,,,E,E,E,E,E,E,,,White,2%,,6622
Upstate Buffalo,503,73,Core,Skim White,½ Gal,Plastic,2022-08-08,2022-08-25,2022-08-11,< 10 E,< 20 E,610000,340000,890000000,580000000,,,<,<,,,,,,,10,20,610000,340000,890000000,580000000,,,E,E,,,,,,,White,Skim,,6614
Upstate Buffalo,503,74,Core,1% White,½ Gal,Plastic,2022-08-08,2022-08-25,2022-08-11,< 10 E,< 20 E,4600,4100,1500000000,1500000000,,,<,<,,,,,,,10,20,4600,4100,1500000000,1500000000,,,E,E,,,,,,,White,1%,,6615
Upstate Buffalo,503,75,Flavored,1% Chocolate,½ Gal,Plastic,2022-08-08,2022-08-25,2022-08-11,10 E,< 20 E,60 E,< 20 E,4500000,< 20 E,,,,<,,<,,<,,,10,20,60,20,4500000,20,,,E,E,E,E,,E,,,Chocolate,1%,,6616
Upstate Buffalo,503,75-1,Single Serve,1% Chocolate,½ Pt,Paper,2022-08-08,2022-08-25,2022-08-11,110 E,< 20 E,< 10 E,< 20 E,230000,< 20 E,,,,<,<,<,,<,,,110,20,10,20,230000,20,,,E,E,E,E,,E,,,Chocolate,1%,,6617
Upstate Buffalo,503,75-2,Single Serve,Whole Chocolate,Pt,Plastic,2022-08-08,2022-08-27,2022-08-11,130 E,< 20 E,70 E,< 20 E,22000,< 20 E,7000000,< 20 E,,<,,<,,<,,<,130,20,70,20,22000,20,7000000,20,E,E,E,E,,E,,E,Chocolate,Whole,,6618
Upstate Buffalo,503,76,Single Serve,Whole Vanilla,Pt,Plastic,2022-08-08,2022-08-27,2022-08-11,300 E,< 20 E,100 E,< 20 E,530000,660000,4700000000,5300000000,,<,,<,,,,,300,20,100,20,530000,660000,4700000000,5300000000,E,E,E,E,,,,,Vanilla,Whole,,6619
Upstate Buffalo,503,76-1,Single Serve,Whole Mint,Pt,Plastic,2022-08-08,2022-08-27,2022-08-11,130 E,< 20 E,180 E,< 20 E,16000,60 E,34000000,4000,,<,,<,,,,,130,20,180,20,16000,60,34000000,4000,E,E,E,E,,E,,,Mint,Whole,,6620
Upstate Syracuse,503,81,Core,Whole White,Gal,Plastic,2022-08-08,2022-08-28,2022-08-11,680,< 20 E,220000,220000,31000000,24000000,,,,<,,,,,,,680,20,220000,220000,31000000,24000000,,,,E,,,,,,,White,Whole,,6623
Upstate Syracuse,503,81-1,Extras,Whole White,Gal,Plastic,2022-08-08,2022-08-28,2022-08-11,600,< 20 E,510,< 20 E,1200,20 E,,,,<,,<,,,,,600,20,510,20,1200,20,,,,E,,E,,E,,,White,Whole,,6631
Upstate Syracuse,503,82-1,Single Serve,2% White,½ Pt,Paper,2022-08-08,2022-08-28,2022-08-11,650,< 20 E,5600,17000,34000000,41000000,,,,<,,,,,,,650,20,5600,17000,34000000,41000000,,,,E,,,,,,,White,2%,,6630
Upstate Syracuse,503,82-2,Extras,2% White,½ Gal,Glass,2022-08-08,2022-08-28,2022-08-11,640,< 20 E,1200,140 E,5300000,5400000,,,,<,,,,,,,640,20,1200,140,5300000,5400000,,,,E,,E,,,,,White,2%,,6632
Upstate Syracuse,503,83,Core,Skim White,½ Gal,Plastic,2022-08-08,2022-08-28,2022-08-11,1000,840,34000000,34000000,530000000,450000000,,,,,,,,,,,1000,840,34000000,34000000,530000000,450000000,,,,,,,,,,,White,Skim,,6625
Upstate Syracuse,503,84,Core,1% White,½ Gal,Plastic,2022-08-08,2022-08-28,2022-08-11,90 E,< 20 E,49000,37000,190000000,350000000,,,,<,,,,,,,90,20,49000,37000,190000000,350000000,,,E,E,,,,,,,White,1%,,6626
Upstate Syracuse,503,84-1,Extras,1% White,Gal,Plastic,2022-08-08,2022-08-28,2022-08-11,50 E,< 20 E,9000,12000,18000000,24000000,,,,<,,,,,,,50,20,9000,12000,18000000,24000000,,,E,E,,,,,,,White,1%,,6629
Upstate Syracuse,503,85,Flavored,1% Chocolate,½ Gal,Plastic,2022-08-09,2022-08-26,2022-08-11,10 E,< 20 E,110 E,< 20 E,270000,< 20 E,,,,<,,<,,<,,,10,20,110,20,270000,20,,,E,E,E,E,,E,,,Chocolate,1%,,6627
Upstate Syracuse,503,85-1,Single Serve,Whole Chocolate,½ Pt,Paper,2022-08-09,2022-08-26,2022-08-11,70 E,< 20 E,11000000,14000000,380000000,410000000,,,,<,,,,,,,70,20,11000000,14000000,380000000,410000000,,,E,E,,,,,,,Chocolate,Whole,,6628
Back to the Future Farm,504,11,Core,Whole White Creamline,½ Gal,Plastic,2022-09-04,2022-09-18,2022-09-08,12000,7700,23000000,30000000,1100000000,1100000000,,,,,,,,,,,12000,7700,23000000,30000000,1100000000,1100000000,,,,,,,,,,,White,Whole,Creamline,6636
Back to the Future Farm,504,11-1,Core,Whole White Creamline,½ Gal,Plastic,2022-09-01,2022-09-15,2022-09-08,42000,63000,,,130000000,100000000,,,,,,,,,,,42000,63000,,,130000000,100000000,,,,,,,,,,,White,Whole,Creamline,6637
Clark Farms Creamery,504,21,Core,Whole White,50 oz.,Plastic,2022-09-05,2022-09-24,2022-09-08,20 E,< 20 E,60 E,< 20 E,350 E,< 20 E,230000,< 20 E,,<,,<,,<,,<,20,20,60,20,350,20,230000,20,E,E,E,E,E,E,,E,White,Whole,,6641
Clark Farms Creamery,504,21-1,Single Serve,Whole White,Pt,Plastic,2022-09-05,2022-09-24,2022-09-08,170 E,< 20 E,120 E,< 20 E,> 400000 E,< 20 E,16000000,< 20 E,,<,,<,>,<,,<,170,20,120,20,400000,20,16000000,20,E,E,E,E,E,E,,E,White,Whole,,6644
Clark Farms Creamery,504,22,Core,2% White,50 oz.,Plastic,2022-09-06,2022-09-25,2022-09-08,180 E,< 20 E,170 E,< 20 E,81000,2700,30000000,22000,,<,,<,,,,,180,20,170,20,81000,2700,30000000,22000,E,E,E,E,,,,,White,2%,,6642
Clark Farms Creamery,504,25,Flavored,Whole Chocolate,Qt,Plastic,2022-09-06,2022-09-25,2022-09-08,20 E,< 20 E,40 E,< 20 E,> 400000 E,< 20 E,1400000000,< 20 E,,<,,<,>,<,,<,20,20,40,20,400000,20,1400000000,20,E,E,E,E,E,E,,E,Chocolate,Whole,,6645
Clark Farms Creamery,504,25-1,Single Serve,Whole Chocolate,Pt,Plastic,2022-09-07,2022-09-26,2022-09-08,40 E,< 20 E,360 E,1800,> 400000 E,160000000,14000000,460000000,,<,,,>,,,,40,20,360,1800,400000,160000000,14000000,460000000,E,E,E,,E,,,,Chocolate,Whole,,6646
Clark Farms Creamery,504,25-2,Flavored,Whole Chocolate,50 oz.,Plastic,2022-09-06,2022-09-25,2022-09-08,30 E,< 20 E,20 E,< 20 E,120000,< 20 E,1000000000,< 20 E,,<,,<,,<,,<,30,20,20,20,120000,20,1000000000,20,E,E,E,E,,E,,E,Chocolate,Whole,,6647
Crystal Valley Creamery,504,31,Core,Whole White Creamline,½ Gal,Plastic,2022-09-03,2022-09-21,2022-09-08,< 10 E,< 20 E,,,31000,44000,,,<,<,,,,,,,10,20,,,31000,44000,,,E,E,,,,,,,White,Whole,Creamline,6650
Crystal Valley Creamery,504,31-1,Core,Whole White Creamline,Pt,Plastic,2022-09-03,2022-09-21,2022-09-08,< 10 E,< 20 E,,,380 E,260 E,,,<,<,,,,,,,10,20,,,380,260,,,E,E,,,E,E,,,White,Whole,Creamline,6652
Crystal Valley Creamery,504,35,Flavored,Whole Chocolate Creamline,½ Gal,Plastic,2022-09-05,2022-09-23,2022-09-09,700,< 20 E,460,< 20 E,> 400000 E,< 20 E,,,,<,,<,>,<,,,700,20,460,20,400000,20,,,,E,,E,E,E,,,Chocolate,Whole,Creamline,6653
